day,date,coding,art ,admin,readings/learning,other ( maintence busy work),total points,tasks --- 
*1,8/1/17,10,5,0,4,0,8,genetic programming - read game design vocab book
*2,8/2/17,2,10,0,0,0,5,"modeling practice - texture creation - game programming"
*3,8/4/17,0,0,4,8,0,3,read papers on game design 
*4,8/5/17,2,0,5,0,10,0,built a desk - busy work
*5,8/8/17,10,0,0,0,0,9,genetic programming-unity work-gamedev
*6,8/9/17,2,10,0,0,0,5,"modeling practice - pixel art work - minor game programming"
*7,8/11/17,0,0,4,8,0,0,read chapters of game feel
*8,8/1/17,10,5,0,4,0,8,genetic programming - read game design vocab book
*9,8/2/17,10,10,0,0,0,5,"modeling practice - texture creation - game programming"
*10,8/4/17,8,0,4,8,0,3,read papers on game design 
*12,8/5/17,11,0,0,0,10,0, busy work
*13,8/5/17,12,0,0,0,10,0,game programmin
*14,8/5/17,30,0,0,0,10,0,game programmin
