day,date,coding,codinhTasks,art ,artTasks,admin,admin tasks,readings/learning,readingTasks,other ( maintence busy work),,overall productivty(tasks assigned),
*1,,3,worked on genetic algorthims,game programming,0,,0,,2,lecture on ML,2,built desk,8,
*2,,7,worked on genetic algorthims,4,blender work,0,,0,,0,,7,
*3,,6,game Dev,0,,0,,0,,0,,10,
*4,,3,worked on genetic algorthims * game programming,0,,0,,2,lecture on ML,2,built desk,8,
*5,,7,worked on genetic algorthims,4,blender work,0,,0,,0,,7,
*6,,6,game Dev,0,,0,,0,,0,,10,
*7,,3,worked on genetic algorthims * game programming,0,,0,,2,lecture on ML,2,built desk,8,
*8,,7,worked on genetic algorthims,4,blender work,0,,0,,0,,7,
*9,,6,game Dev,0,,0,,0,,0,,10,
*10,,3,worked on genetic algorthims * game programming,0,,0,,2,lecture on ML,2,built desk,8,
*,,7,worked on genetic algorthims,4,blender work,0,,0,,0,,7,
*,,6,game Dev,0,,0,,0,,0,,10,
